UTC,air_temp,M1,M2,M3,AMB,OBStar,OBPort,FPA,ROIC,boardid,med_counts,sun_alt
60753.90787045139,12.1,6.558,8.009,197.488,10.609,17.63032035663328,18.47135507167134,-23.87214212066408,-18.62852499999997,6,13517.0,47.31775364853152
60753.90787045139,12.1,6.558,8.009,197.488,10.609,17.63032035663328,18.47135507167134,-33.47599146116409,-26.81450422363281,5,19468.0,47.31775364853152
60753.90787045139,12.1,6.558,8.009,197.488,10.609,17.63032035663328,18.47135507167134,-26.00613698683981,-21.24827529296869,1,15847.0,47.31775364853152
60753.90787045139,12.1,6.558,8.009,197.488,10.609,17.63032035663328,18.47135507167134,-32.54553131203227,-19.81359443359366,3,19887.0,47.31775364853152
60753.90787045139,12.1,6.558,8.009,197.488,10.609,17.63032035663328,18.47135507167134,-37.93199259730176,-34.93092487792973,4,12268.0,47.31775364853152
60754.22896626157,9.1,6.36,6.53,661.709,4.226,13.66585150262191,14.13988876135378,-26.502556888252,-25.91192839355466,2,14147.0,-42.35778573670039
60754.22896626157,9.1,6.36,6.53,661.709,4.226,13.66585150262191,14.13988876135378,-23.51225950320799,-19.28378125,6,12914.0,-42.35778573670039
60754.22896626157,9.1,6.36,6.53,661.709,4.226,13.66585150262191,14.13988876135378,-32.39634360879592,-26.37700607910153,5,18736.0,-42.35778573670039
60754.22896626157,9.1,6.36,6.53,661.709,4.226,13.66585150262191,14.13988876135378,-25.64625436938383,-21.8979434570312,1,14754.0,-42.35778573670039
60754.22896626157,9.1,6.36,6.53,661.709,4.226,13.66585150262191,14.13988876135378,-32.54553131203227,-21.42159516601555,3,16541.0,-42.35778573670039
60754.22896626157,9.1,6.36,6.53,661.709,4.226,13.66585150262191,14.13988876135378,-37.57210997984572,-34.93092487792973,4,11842.0,-42.35778573670039
60754.34881648148,8.7,4.881,4.657,838.885,3.047,12.63315740392842,13.19099826861419,-27.22232212316408,-25.91192839355466,2,14035.0,-56.03861002591066
60754.34881648148,8.7,4.881,4.657,838.885,3.047,12.63315740392842,13.19099826861419,-23.87214212066408,-19.17457187499997,6,12769.0,-56.03861002591066
60754.34881648148,8.7,4.881,4.657,838.885,3.047,12.63315740392842,13.19099826861419,-32.39634360879592,-26.37700607910153,5,18578.0,-56.03861002591066
60754.34881648148,8.7,4.881,4.657,838.885,3.047,12.63315740392842,13.19099826861419,-26.00613698683981,-21.8979434570312,1,14554.0,-56.03861002591066
60754.34881648148,8.7,4.881,4.657,838.885,3.047,12.63315740392842,13.19099826861419,-32.54553131203227,-21.52879521484368,3,16066.0,-56.03861002591066
60754.34881648148,8.7,4.881,4.657,838.885,3.047,12.63315740392842,13.19099826861419,-37.93199259730176,-34.93092487792973,4,11748.0,-56.03861002591066
60754.44292696759,7.7,4.191,3.77,303.001,2.753,12.24787079277388,12.9228491014953,-28.3019699755323,-25.91192839355466,2,13938.0,-39.24265925970565
60754.44292696759,7.7,4.191,3.77,303.001,2.753,12.24787079277388,12.9228491014953,-23.87214212066408,-19.61140937499999,6,12772.0,-39.24265925970565
60754.44292696759,7.7,4.191,3.77,303.001,2.753,12.24787079277388,12.9228491014953,-32.03646099133988,-26.4863806152344,5,18399.0,-39.24265925970565
60754.44292696759,7.7,4.191,3.77,303.001,2.753,12.24787079277388,12.9228491014953,-25.64625436938383,-21.78966542968743,1,14582.0,-39.24265925970565
60754.44292696759,7.7,4.191,3.77,303.001,2.753,12.24787079277388,12.9228491014953,-32.54553131203227,-21.52879521484368,3,16069.0,-39.24265925970565
60754.44292696759,7.7,4.191,3.77,303.001,2.753,12.24787079277388,12.9228491014953,-38.29187521475785,-35.04198325195313,4,11691.0,-39.24265925970565
